SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,tempmed_lag2,tempmed_lag4,umidmed_lag2,umidmed_lag4,casos_lag1,casos_lag2
202214,394.0,394,0.99996644,53.992054,19.0,22.367647,26.2857142857143,59.1713731428571,75.9422794285714,91.4917642857143,22.4502468571429,25.404622,69.9026435714286,65.1137578571429,358.0,296.0
202215,449.0,449,0.999864,61.52902,17.4285714285714,21.3869748571429,26.2857142857143,45.9612301428571,69.2541591428571,88.2123494285714,22.4149864285714,23.7141382857143,77.2459522857143,77.8390518571429,394.0,358.0
202216,623.0,623,1.0,85.37322,14.8571428571429,20.7531511428571,25.5714285714286,40.3205441428571,61.9612265714286,87.92655,22.367647,22.4502468571429,75.9422794285714,69.9026435714286,449.0,394.0
202217,627.0,627,0.9999954,85.921364,17.0,22.0050421428571,26.7142857142857,44.9021992857143,67.145021,88.9304991428571,21.3869748571429,22.4149864285714,69.2541591428571,77.2459522857143,623.0,449.0
202218,542.0,542,0.28290874,74.27333,16.1428571428571,20.0806821428571,24.0,51.4660364285714,71.7558111428571,90.5856948571429,20.7531511428571,22.367647,61.9612265714286,75.9422794285714,627.0,623.0
202219,427.0,427,5.703e-07,58.514233,14.5714285714286,18.2886758571429,23.1428571428571,51.7582038571429,74.3138414285714,91.2328742857143,22.0050421428571,21.3869748571429,67.145021,69.2541591428571,542.0,627.0
202220,360.0,360,1.02e-08,49.33284,11.1428571428571,15.3079834285714,19.5714285714286,41.152324,63.0079545714286,81.27062,20.0806821428571,20.7531511428571,71.7558111428571,61.9612265714286,427.0,542.0
202221,376.0,376,0.0075449967,51.525414,9.71428571428571,17.9663862142857,24.0,31.5971992857143,59.9937434285714,92.689854,18.2886758571429,22.0050421428571,74.3138414285714,67.145021,360.0,427.0
202222,388.0,388,0.45723376,53.16984,14.4285714285714,18.1579965714286,21.8571428571429,59.4245474285714,76.839858,92.0500891428571,15.3079834285714,20.0806821428571,63.0079545714286,71.7558111428571,376.0,360.0
202223,305.0,305,0.0044547687,41.79588,14.1428571428571,17.1593138571429,20.1428571428571,65.7189332857143,79.2541537142857,90.4511448571429,17.9663862142857,18.2886758571429,59.9937434285714,74.3138414285714,388.0,376.0
